id	title	year	rating	votes	genres
tt0088247	The Terminator	1984	8.1	961529	Action,Adventure,Sci-Fi
tt2278388	The Grand Budapest Hotel	2014	8.1	923566	Comedy,Drama
tt0118715	The Big Lebowski	1998	8.1	888283	Comedy,Crime
tt3315342	Logan	2017	8.1	886544	Action,Drama,Sci-Fi
tt0382932	Ratatouille	2007	8.1	880873	Animation,Adventure,Comedy
tt2096673	Inside Out	2015	8.1	863446	Animation,Adventure,Comedy
tt0083658	Blade Runner	1982	8.1	852073	Action,Drama,Sci-Fi
tt0892769	How to Train Your Dragon	2010	8.1	840456	Animation,Action,Adventure
tt1205489	Gran Torino	2008	8.1	837328	Drama
tt2024544	12 Years a Slave	2013	8.1	762964	Biography,Drama,History
tt0116282	Fargo	1996	8.1	753860	Crime,Drama,Thriller
tt0117951	Trainspotting	1996	8.1	747656	Drama
tt0405159	Million Dollar Baby	2004	8.1	744585	Drama,Sport
tt0073195	Jaws	1975	8.1	691972	Adventure,Drama,Horror
tt0075148	Rocky	1976	8.1	657621	Drama,Sport
tt2119532	Hacksaw Ridge	2016	8.1	634094	Biography,Drama,History
tt0120735	Lock, Stock and Two Smoking Barrels	1998	8.1	633742	Comedy,Crime
tt0097165	Dead Poets Society	1989	8.1	588149	Comedy,Drama
tt5027774	Three Billboards Outside Ebbing, Missouri	2017	8.1	581014	Comedy,Crime,Drama
tt1979320	Rush	2013	8.1	532666	Biography,Drama,Sport
tt1950186	Ford v Ferrari	2019	8.1	519112	Action,Biography,Drama
tt1895587	Spotlight	2015	8.1	517434	Biography,Crime,Drama
tt1291584	Warrior	2011	8.1	512948	Action,Drama,Sport
tt1454029	The Help	2011	8.1	511406	Drama
tt0070047	The Exorcist	1973	8.1	476173	Horror
tt3170832	Room	2015	8.1	466730	Drama,Thriller
tt0092005	Stand by Me	1986	8.1	462755	Adventure,Comedy,Drama
tt0091763	Platoon	1986	8.1	454877	Drama,War
tt0032138	The Wizard of Oz	1939	8.1	449250	Adventure,Family,Fantasy
tt0096283	My Neighbor Totoro	1988	8.1	405321	Animation,Comedy,Family
tt0081398	Raging Bull	1980	8.1	394610	Biography,Drama,Sport
tt0395169	Hotel Rwanda	2004	8.1	383003	Biography,Drama,History
tt0077416	The Deer Hunter	1978	8.1	374574	Drama,War
tt0071315	Chinatown	1974	8.1	363912	Drama,Mystery,Thriller
tt0112471	Before Sunrise	1995	8.1	357552	Comedy,Drama,Romance
tt1028532	Hachi: A Dog's Tale	2009	8.1	327023	Biography,Drama,Family
tt0381681	Before Sunset	2004	8.1	301062	Drama,Romance
tt0059742	The Sound of Music	1965	8.1	275077	Biography,Drama,Family
tt0052618	Ben-Hur	1959	8.1	262308	Adventure,Drama
tt0129167	The Iron Giant	1999	8.1	243507	Animation,Action,Adventure
tt0050212	The Bridge on the River Kwai	1957	8.1	241116	Adventure,Drama,War
tt0353969	Memories of Murder	2003	8.1	239167	Crime,Drama,Mystery
tt3011894	Wild Tales	2014	8.1	227413	Comedy,Drama,Thriller
tt0113247	La haine	1995	8.1	210556	Crime,Drama
tt2338151	PK	2014	8.1	210016	Comedy,Drama,Sci-Fi
tt0050976	The Seventh Seal	1957	8.1	207598	Drama,Fantasy
tt0978762	Mary and Max	2009	8.1	195402	Animation,Comedy,Drama
tt0107207	In the Name of the Father	1993	8.1	195207	Biography,Crime,Drama
tt0072684	Barry Lyndon	1975	8.1	192431	Adventure,Drama,War
tt0041959	The Third Man	1949	8.1	189170	Drama,Film-Noir,Mystery
tt4016934	The Handmaiden	2016	8.1	187139	Drama,Romance,Thriller
tt0074958	Network	1976	8.1	178712	Drama
tt0118694	In the Mood for Love	2000	8.1	176392	Drama,Romance
tt0047296	On the Waterfront	1954	8.1	171725	Crime,Drama,Thriller
tt0032976	Rebecca	1940	8.1	157250	Drama,Mystery,Romance
tt0087884	Paris, Texas	1984	8.1	130747	Drama
tt0031679	Mr. Smith Goes to Washington	1939	8.1	125555	Comedy,Drama
tt0405508	Rang De Basanti	2006	8.1	124204	Comedy,Crime,Drama
tt0169102	Lagaan: Once Upon a Time in India	2001	8.1	123643	Drama,Musical,Sport
tt0015864	The Gold Rush	1925	8.1	123323	Adventure,Comedy,Drama
tt0050986	Wild Strawberries	1957	8.1	119975	Drama,Romance
tt5323662	A Silent Voice: The Movie	2016	8.1	118845	Animation,Drama
tt8613070	Portrait of a Lady on Fire	2019	8.1	118357	Drama,Romance
tt0025316	It Happened One Night	1934	8.1	116511	Comedy,Romance
tt0111495	Three Colors: Red	1994	8.1	113586	Drama,Mystery,Romance
tt0032551	The Grapes of Wrath	1940	8.1	104105	Drama
tt3863552	Bajrangi Bhaijaan	2015	8.1	104085	Action,Adventure,Comedy
tt0017925	The General	1926	8.1	102326	Action,Adventure,Comedy
tt0374887	Munna Bhai M.B.B.S.	2003	8.1	91697	Comedy,Drama
tt2082197	Barfi!	2012	8.1	89766	Comedy,Drama,Romance
tt0871510	Chak De! India	2007	8.1	86972	Drama,Family,Sport
tt0056217	The Man Who Shot Liberty Valance	1962	8.1	85469	Drama,Western
tt1280558	A Wednesday	2008	8.1	83984	Action,Crime,Drama
tt0036868	The Best Years of Our Lives	1946	8.1	74099	Drama,Romance,War
tt0116231	The Bandit	1996	8.1	73827	Crime,Drama
tt0046438	Tokyo Story	1953	8.1	73449	Drama
tt0046911	Diabolique	1955	8.1	71349	Crime,Drama,Horror
tt0058946	The Battle of Algiers	1966	8.1	70660	Drama,War
tt0169858	Neon Genesis Evangelion: The End of Evangelion	1997	8.1	70060	Animation,Action,Drama
tt0046268	The Wages of Fear	1953	8.1	70039	Adventure,Drama,Thriller
tt0020629	All Quiet on the Western Front	1930	8.1	69833	Drama,War
tt3322420	Queen	2013	8.1	69662	Adventure,Comedy,Drama
tt0083922	Fanny and Alexander	1982	8.1	69349	Drama
tt2283748	OMG: Oh My God!	2012	8.1	67937	Comedy,Drama,Fantasy
tt1821480	Kahaani	2012	8.1	67586	Mystery,Thriller
tt0019254	The Passion of Joan of Arc	1928	8.1	64519	Biography,Drama,History
tt0073707	Sholay	1975	8.1	60519	Action,Adventure,Comedy
tt0018455	Sunrise	1927	8.1	55297	Drama,Romance
tt0050783	Nights of Cabiria	1957	8.1	54795	Drama
tt0070510	Paper Moon	1973	8.1	54788	Comedy,Crime,Drama
tt0074896	The Message	1976	8.1	52445	Biography,Drama,History
tt2140203	Wolf Children	2012	8.1	51937	Animation,Drama,Family
tt2991224	Tangerines	2013	8.1	50426	Drama,War
tt1639426	Udaan	2010	8.1	48438	Drama
tt0035446	To Be or Not to Be	1942	8.1	46665	Comedy,Romance,War
tt0040725	The Red Shoes	1948	8.1	41375	Drama,Music,Romance
tt0043338	Ace in the Hole	1951	8.1	40729	Drama,Film-Noir
tt0028950	The Grand Illusion	1937	8.1	40059	Drama,War
tt0077711	Autumn Sonata	1978	8.1	39782	Drama,Music
tt4934950	Guilty	2015	8.1	39562	Crime,Drama,Mystery
tt10324144	Article 15	2019	8.1	38310	Crime,Drama,Mystery
tt0048021	Rififi	1955	8.1	37961	Crime,Drama,Thriller
tt0018773	The Circus	1928	8.1	37274	Comedy,Family,Romance
tt0042041	White Heat	1949	8.1	37117	Action,Crime,Drama
tt0375611	Black	2005	8.1	36871	Drama
tt0101640	Raise the Red Lantern	1991	8.1	36539	Drama,Romance
tt0066763	Anand	1971	8.1	36360	Drama,Musical
tt0106332	Farewell My Concubine	1993	8.1	35006	Drama,Music,Romance
tt0053946	Inherit the Wind	1960	8.1	34119	Biography,Drama,History
tt0097223	Time of the Gypsies	1988	8.1	33570	Comedy,Crime,Drama
tt4635372	Masaan	2015	8.1	32971	Drama
tt0065234	Z	1969	8.1	32614	Crime,Drama,Thriller
tt0244316	Yi Yi	2000	8.1	30309	Drama,Romance
tt7236034	I Want to Eat Your Pancreas	2018	8.1	29537	Animation,Drama,Family
tt0263438	Everything's Gonna Be Great	1998	8.1	28891	Comedy,Drama
tt0091288	Jean de Florette	1986	8.1	28354	Drama
tt0200087	Sarfarosh	1999	8.1	27898	Action,Crime,Drama
tt0064040	Army of Shadows	1969	8.1	27584	Drama,War
tt0044008	A Christmas Carol	1951	8.1	27489	Drama,Family,Fantasy
tt0095467	A Short Film About Love	1988	8.1	27163	Drama,Romance
tt0046478	Ugetsu	1953	8.1	27047	Drama,Fantasy,War
tt0428870	A Moment to Remember	2004	8.1	26390	Drama,Romance
tt0351817	The Twilight Samurai	2002	8.1	26313	Drama,Romance
tt0848228	The Avengers	2012	8	1503852	Action,Sci-Fi
tt2015381	Guardians of the Galaxy	2014	8	1313542	Action,Adventure,Comedy
tt1431045	Deadpool	2016	8	1202283	Action,Comedy,Sci-Fi
tt3659388	The Martian	2015	8	965243	Adventure,Drama,Sci-Fi
tt1160419	Dune: Part One	2021	8	951799	Action,Adventure,Drama
tt1663202	The Revenant	2015	8	909036	Adventure,Drama,Western
tt1010048	Slumdog Millionaire	2008	8	894125	Crime,Drama,Romance
tt0246578	Donnie Darko	2001	8	879851	Drama,Mystery,Sci-Fi
tt0947798	Black Swan	2010	8	856374	Drama,Thriller
tt0317705	The Incredibles	2004	8	851766	Animation,Action,Adventure
tt2084970	The Imitation Game	2014	8	851223	Biography,Drama,Thriller
tt0378194	Kill Bill: Vol. 2	2004	8	835738	Action,Crime,Thriller
tt0401792	Sin City	2005	8	806371	Crime,Thriller
tt1504320	The King's Speech	2010	8	720577	Biography,Drama,History
tt0381061	Casino Royale	2006	8	716121	Action,Adventure,Thriller
tt3783958	La La Land	2016	8	715933	Comedy,Drama,Music
tt0107048	Groundhog Day	1993	8	714494	Comedy,Drama,Fantasy
tt1856101	Blade Runner 2049	2017	8	710357	Action,Drama,Mystery
tt1798709	Her	2013	8	699667	Drama,Romance,Sci-Fi
tt0758758	Into the Wild	2007	8	677679	Adventure,Biography,Drama
tt0440963	The Bourne Ultimatum	2007	8	670418	Action,Mystery,Thriller
tt0114746	12 Monkeys	1995	8	662960	Mystery,Sci-Fi,Thriller
tt0450259	Blood Diamond	2006	8	605528	Adventure,Drama,Thriller
tt0454921	The Pursuit of Happyness	2006	8	589545	Biography,Drama
tt2948356	Zootopia	2016	8	577360	Animation,Action,Adventure
tt0095953	Rain Man	1988	8	563625	Drama
tt0101414	Beauty and the Beast	1991	8	492202	Animation,Family,Fantasy
tt0103639	Aladdin	1992	8	485407	Animation,Adventure,Comedy
tt0319061	Big Fish	2003	8	468520	Adventure,Drama,Fantasy
tt0093779	The Princess Bride	1987	8	464992	Adventure,Comedy,Family
tt0079470	Monty Python's Life of Brian	1979	8	428281	Comedy
tt2948372	Soul	2020	8	406229	Animation,Adventure,Comedy
tt0105323	Scent of a Woman	1992	8	349250	Drama
tt0175880	Magnolia	1999	8	337292	Drama
tt0099348	Dances with Wolves	1990	8	300404	Adventure,Drama,Western
tt0061722	The Graduate	1967	8	296023	Comedy,Drama,Romance
tt0072890	Dog Day Afternoon	1975	8	281271	Biography,Crime,Drama
tt0245712	Amores Perros	2000	8	265743	Drama,Thriller
tt3741834	Lion	2016	8	258926	Biography,Drama
tt0063522	Rosemary's Baby	1968	8	247605	Drama,Horror
tt0083987	Gandhi	1982	8	243705	Biography,Drama,History
tt1220719	Ip Man	2008	8	238171	Action,Biography,Drama
tt0064115	Butch Cassidy and the Sundance Kid	1969	8	231883	Biography,Crime,Drama
tt0094625	Akira	1988	8	215047	Animation,Drama,Fantasy
tt0063442	Planet of the Apes	1968	8	204390	Adventure,Sci-Fi
tt0352248	Cinderella Man	2005	8	203886	Biography,Drama,Romance
tt4857264	The Invisible Guest	2016	8	201903	Crime,Drama,Mystery
tt0061512	Cool Hand Luke	1967	8	194078	Crime,Drama
tt0092067	Castle in the Sky	1986	8	190348	Animation,Adventure,Family
